,impedance_key,transferFunc,transferFunc_latex
10,Z2_Z3_Z4,(Z_2*Z_3*Z_4*g_m + Z_3*Z_4)/(2*Z_2*Z_3*g_m + Z_2*Z_4*g_m + 2*Z_3 + Z_4),\frac{Z_{2} Z_{3} Z_{4} g_{m} + Z_{3} Z_{4}}{2 Z_{2} Z_{3} g_{m} + Z_{2} Z_{4} g_{m} + 2 Z_{3} + Z_{4}}
11,Z2_Z3_Z5,(Z_2*Z_3*Z_5*g_m - Z_2*Z_3 + Z_3*Z_5)/(2*Z_2*Z_3*g_m + Z_2*Z_5*g_m + Z_2 + 4*Z_3 + Z_5),\frac{Z_{2} Z_{3} Z_{5} g_{m} - Z_{2} Z_{3} + Z_{3} Z_{5}}{2 Z_{2} Z_{3} g_{m} + Z_{2} Z_{5} g_{m} + Z_{2} + 4 Z_{3} + Z_{5}}
12,Z2_Z3_ZL,(Z_2*Z_3*Z_L*g_m + Z_3*Z_L)/(Z_2*Z_3*g_m + Z_2*Z_L*g_m + Z_3 + Z_L),\frac{Z_{2} Z_{3} Z_{L} g_{m} + Z_{3} Z_{L}}{Z_{2} Z_{3} g_{m} + Z_{2} Z_{L} g_{m} + Z_{3} + Z_{L}}
13,Z2_Z4_Z5,(Z_2*Z_4*Z_5*g_m - Z_2*Z_4 + Z_4*Z_5)/(2*Z_2*Z_4*g_m + 2*Z_2*Z_5*g_m + 2*Z_2 + 4*Z_4 + 2*Z_5),\frac{Z_{2} Z_{4} Z_{5} g_{m} - Z_{2} Z_{4} + Z_{4} Z_{5}}{2 Z_{2} Z_{4} g_{m} + 2 Z_{2} Z_{5} g_{m} + 2 Z_{2} + 4 Z_{4} + 2 Z_{5}}
14,Z2_Z4_ZL,(Z_2*Z_4*Z_L*g_m + Z_4*Z_L)/(Z_2*Z_4*g_m + 2*Z_2*Z_L*g_m + Z_4 + 2*Z_L),\frac{Z_{2} Z_{4} Z_{L} g_{m} + Z_{4} Z_{L}}{Z_{2} Z_{4} g_{m} + 2 Z_{2} Z_{L} g_{m} + Z_{4} + 2 Z_{L}}
15,Z2_Z5_ZL,(Z_2*Z_5*Z_L*g_m - Z_2*Z_L + Z_5*Z_L)/(Z_2*Z_5*g_m + 2*Z_2*Z_L*g_m + Z_2 + Z_5 + 4*Z_L),\frac{Z_{2} Z_{5} Z_{L} g_{m} - Z_{2} Z_{L} + Z_{5} Z_{L}}{Z_{2} Z_{5} g_{m} + 2 Z_{2} Z_{L} g_{m} + Z_{2} + Z_{5} + 4 Z_{L}}
16,Z3_Z4_Z5,(Z_3*Z_4*Z_5*g_m - Z_3*Z_4)/(2*Z_3*Z_4*g_m + 2*Z_3*Z_5*g_m + 2*Z_3 + Z_4*Z_5*g_m + Z_4),\frac{Z_{3} Z_{4} Z_{5} g_{m} - Z_{3} Z_{4}}{2 Z_{3} Z_{4} g_{m} + 2 Z_{3} Z_{5} g_{m} + 2 Z_{3} + Z_{4} Z_{5} g_{m} + Z_{4}}
17,Z3_Z4_ZL,Z_3*Z_4*Z_L*g_m/(Z_3*Z_4*g_m + 2*Z_3*Z_L*g_m + Z_4*Z_L*g_m),\frac{Z_{3} Z_{4} Z_{L} g_{m}}{Z_{3} Z_{4} g_{m} + 2 Z_{3} Z_{L} g_{m} + Z_{4} Z_{L} g_{m}}
18,Z3_Z5_ZL,(Z_3*Z_5*Z_L*g_m - Z_3*Z_L)/(Z_3*Z_5*g_m + 2*Z_3*Z_L*g_m + Z_3 + Z_5*Z_L*g_m + Z_L),\frac{Z_{3} Z_{5} Z_{L} g_{m} - Z_{3} Z_{L}}{Z_{3} Z_{5} g_{m} + 2 Z_{3} Z_{L} g_{m} + Z_{3} + Z_{5} Z_{L} g_{m} + Z_{L}}
19,Z4_Z5_ZL,(Z_4*Z_5*Z_L*g_m - Z_4*Z_L)/(Z_4*Z_5*g_m + 2*Z_4*Z_L*g_m + Z_4 + 2*Z_5*Z_L*g_m + 2*Z_L),\frac{Z_{4} Z_{5} Z_{L} g_{m} - Z_{4} Z_{L}}{Z_{4} Z_{5} g_{m} + 2 Z_{4} Z_{L} g_{m} + Z_{4} + 2 Z_{5} Z_{L} g_{m} + 2 Z_{L}}
20,Z1_Z2,Z_1*Z_2*g_m + Z_1,Z_{1} Z_{2} g_{m} + Z_{1}
21,Z1_Z3,Z_1*Z_3*g_m/(Z_1*g_m + 1),\frac{Z_{1} Z_{3} g_{m}}{Z_{1} g_{m} + 1}
22,Z1_Z4,Z_1*Z_4*g_m/(2*Z_1*g_m + 2),\frac{Z_{1} Z_{4} g_{m}}{2 Z_{1} g_{m} + 2}
23,Z1_Z5,(Z_1*Z_5*g_m - Z_1)/(2*Z_1*g_m + 1),\frac{Z_{1} Z_{5} g_{m} - Z_{1}}{2 Z_{1} g_{m} + 1}
24,Z1_ZL,Z_1*Z_L*g_m/(Z_1*g_m + 1),\frac{Z_{1} Z_{L} g_{m}}{Z_{1} g_{m} + 1}
25,Z2_Z3,(Z_2*Z_3*g_m + Z_3)/(Z_2*g_m + 1),\frac{Z_{2} Z_{3} g_{m} + Z_{3}}{Z_{2} g_{m} + 1}
26,Z2_Z4,(Z_2*Z_4*g_m + Z_4)/(2*Z_2*g_m + 2),\frac{Z_{2} Z_{4} g_{m} + Z_{4}}{2 Z_{2} g_{m} + 2}
27,Z2_Z5,(Z_2*Z_5*g_m - Z_2 + Z_5)/(2*Z_2*g_m + 4),\frac{Z_{2} Z_{5} g_{m} - Z_{2} + Z_{5}}{2 Z_{2} g_{m} + 4}
28,Z2_ZL,(Z_2*Z_L*g_m + Z_L)/(Z_2*g_m + 1),\frac{Z_{2} Z_{L} g_{m} + Z_{L}}{Z_{2} g_{m} + 1}
29,Z3_Z4,Z_3*Z_4*g_m/(2*Z_3*g_m + Z_4*g_m),\frac{Z_{3} Z_{4} g_{m}}{2 Z_{3} g_{m} + Z_{4} g_{m}}
30,Z3_Z5,(Z_3*Z_5*g_m - Z_3)/(2*Z_3*g_m + Z_5*g_m + 1),\frac{Z_{3} Z_{5} g_{m} - Z_{3}}{2 Z_{3} g_{m} + Z_{5} g_{m} + 1}
31,Z3_ZL,Z_3*Z_L*g_m/(Z_3*g_m + Z_L*g_m),\frac{Z_{3} Z_{L} g_{m}}{Z_{3} g_{m} + Z_{L} g_{m}}
32,Z4_Z5,(Z_4*Z_5*g_m - Z_4)/(2*Z_4*g_m + 2*Z_5*g_m + 2),\frac{Z_{4} Z_{5} g_{m} - Z_{4}}{2 Z_{4} g_{m} + 2 Z_{5} g_{m} + 2}
33,Z4_ZL,Z_4*Z_L*g_m/(Z_4*g_m + 2*Z_L*g_m),\frac{Z_{4} Z_{L} g_{m}}{Z_{4} g_{m} + 2 Z_{L} g_{m}}
34,Z5_ZL,(Z_5*Z_L*g_m - Z_L)/(Z_5*g_m + 2*Z_L*g_m + 1),\frac{Z_{5} Z_{L} g_{m} - Z_{L}}{Z_{5} g_{m} + 2 Z_{L} g_{m} + 1}
