,x_R_1,x_C_L,x_L_L,x_g_m,x_r_o,x_C_3,Q,wo,bandwidth,K_BP
93,200.00000000000003,1e-13,1e-09,0.004641588833612777,100000.0,1e-13,2729.882,70710678118.655,25902471.014,93031.777
94,200.00000000000003,1e-13,1e-09,0.007742636826811269,100000.0,1e-13,3606.99,70710678118.655,19603788.879,155052.737
95,200.00000000000003,1e-13,1e-09,0.01291549665014884,100000.0,1e-13,5070.096,70710678118.655,13946614.974,258509.933
96,200.00000000000003,1e-13,1e-09,0.021544346900318832,100000.0,1e-13,7510.704,70710678118.655,9414654.442,431086.938
97,200.00000000000003,1e-13,1e-09,0.03593813663804626,100000.0,1e-13,11581.882,70710678118.655,6105283.916,718962.733
98,200.00000000000003,1e-13,1e-09,0.05994842503189409,100000.0,1e-13,18373.017,70710678118.655,3848615.478,1199168.501
99,200.00000000000003,1e-13,1e-09,0.1,100000.0,1e-13,29701.313,70710678118.655,2380725.645,2000200.0
100,200.00000000000003,2.782559402207126e-13,1e-10,0.001,100000.0,1e-13,7392.602,162594975713.456,21994281.304,20200.0
101,200.00000000000003,2.782559402207126e-13,1e-10,0.0016681005372000592,100000.0,1e-13,8214.4,162594975713.456,19793896.468,33562.011
102,200.00000000000003,2.782559402207126e-13,1e-10,0.0027825594022071257,100000.0,1e-13,9585.24,162594975713.456,16963057.169,55851.188
103,200.00000000000003,2.782559402207126e-13,1e-10,0.004641588833612777,100000.0,1e-13,11871.94,162594975713.456,13695737.864,93031.777
104,200.00000000000003,2.782559402207126e-13,1e-10,0.007742636826811269,100000.0,1e-13,15686.385,162594975713.456,10365356.783,155052.737
105,200.00000000000003,2.782559402207126e-13,1e-10,0.01291549665014884,100000.0,1e-13,22049.263,162594975713.456,7374168.382,258509.933
106,200.00000000000003,2.782559402207126e-13,1e-10,0.021544346900318832,100000.0,1e-13,32663.183,162594975713.456,4977928.139,431086.938
107,200.00000000000003,2.782559402207126e-13,1e-10,0.03593813663804626,100000.0,1e-13,50368.268,162594975713.456,3228123.219,718962.733
108,200.00000000000003,2.782559402207126e-13,1e-10,0.05994842503189409,100000.0,1e-13,79902.131,162594975713.456,2034926.656,1199168.501
109,200.00000000000003,2.782559402207126e-13,1e-10,0.1,100000.0,1e-13,129167.583,162594975713.456,1258790.883,2000200.0
110,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.001,100000.0,1e-13,6504.917,143070984601.341,21994281.304,20200.0
111,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.0016681005372000592,100000.0,1e-13,7228.035,143070984601.341,19793896.468,33562.011
112,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.0027825594022071257,100000.0,1e-13,8434.269,143070984601.341,16963057.169,55851.188
113,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.004641588833612777,100000.0,1e-13,10446.387,143070984601.341,13695737.864,93031.777
