Freq.	V(ideal_out)	V(lpf_3rd_lt1818)
4.07380277804116e+04	(6.07972157788710e+01dB,-2.70064479717244e-01°)	(6.11435027889694e+01dB,-2.99853504040986e-01°)
4.12097519097334e+04	(6.07972148403388e+01dB,-2.73191669870921e-01°)	(6.11435018105324e+01dB,-3.03325633386568e-01°)
4.16869383470339e+04	(6.07972138799456e+01dB,-2.76355070858872e-01°)	(6.11435008093049e+01dB,-3.06837967722965e-01°)
4.21696503428586e+04	(6.07972128971820e+01dB,-2.79555101971514e-01°)	(6.11434997847560e+01dB,-3.10390972588953e-01°)
4.26579518801596e+04	(6.07972118915271e+01dB,-2.82792187354019e-01°)	(6.11434987363423e+01dB,-3.13985118913559e-01°)
4.31519076827769e+04	(6.07972108624475e+01dB,-2.86066756062521e-01°)	(6.11434976635082e+01dB,-3.17620883078366e-01°)
4.36515832240170e+04	(6.07972098093978e+01dB,-2.89379242120963e-01°)	(6.11434965656847e+01dB,-3.21298746980761e-01°)
4.41570447353316e+04	(6.07972087318195e+01dB,-2.92730084578611e-01°)	(6.11434954422898e+01dB,-3.25019198097735e-01°)
4.46683592150967e+04	(6.07972076291414e+01dB,-2.96119727568225e-01°)	(6.11434942927279e+01dB,-3.28782729550417e-01°)
4.51855944374926e+04	(6.07972065007787e+01dB,-2.99548620364908e-01°)	(6.11434931163895e+01dB,-3.32589840169529e-01°)
4.57088189614879e+04	(6.07972053461333e+01dB,-3.03017217445637e-01°)	(6.11434919126508e+01dB,-3.36441034561353e-01°)
4.62381021399265e+04	(6.07972041645929e+01dB,-3.06525978549480e-01°)	(6.11434906808736e+01dB,-3.40336823174698e-01°)
4.67735141287203e+04	(6.07972029555311e+01dB,-3.10075368738508e-01°)	(6.11434894204049e+01dB,-3.44277722368457e-01°)
4.73151258961485e+04	(6.07972017183068e+01dB,-3.13665858459416e-01°)	(6.11434881305764e+01dB,-3.48264254480076e-01°)
4.78630092322643e+04	(6.07972004522640e+01dB,-3.17297923605858e-01°)	(6.11434868107041e+01dB,-3.52296947894703e-01°)
4.84172367584104e+04	(6.07971991567315e+01dB,-3.20972045581493e-01°)	(6.11434854600883e+01dB,-3.56376337115242e-01°)
4.89778819368451e+04	(6.07971978310224e+01dB,-3.24688711363773e-01°)	(6.11434840780130e+01dB,-3.60502962833154e-01°)
4.95450190804795e+04	(6.07971964744338e+01dB,-3.28448413568463e-01°)	(6.11434826637452e+01dB,-3.64677372000100e-01°)
5.01187233627277e+04	(6.07971950862464e+01dB,-3.32251650514906e-01°)	(6.11434812165352e+01dB,-3.68900117900387e-01°)
5.06990708274709e+04	(6.07971936657242e+01dB,-3.36098926292045e-01°)	(6.11434797356157e+01dB,-3.73171760224290e-01°)
5.12861383991370e+04	(6.07971922121141e+01dB,-3.39990750825209e-01°)	(6.11434782202015e+01dB,-3.77492865142173e-01°)
5.18800038928966e+04	(6.07971907246453e+01dB,-3.43927639943670e-01°)	(6.11434766694890e+01dB,-3.81864005379544e-01°)
5.24807460249778e+04	(6.07971892025293e+01dB,-3.47910115448986e-01°)	(6.11434750826563e+01dB,-3.86285760292863e-01°)
5.30884444230994e+04	(6.07971876449588e+01dB,-3.51938705184124e-01°)	(6.11434734588618e+01dB,-3.90758715946392e-01°)
5.37031796370258e+04	(6.07971860511083e+01dB,-3.56013943103396e-01°)	(6.11434717972447e+01dB,-3.95283465189730e-01°)
5.43250331492439e+04	(6.07971844201325e+01dB,-3.60136369343194e-01°)	(6.11434700969239e+01dB,-3.99860607736437e-01°)
5.49540873857630e+04	(6.07971827511667e+01dB,-3.64306530293547e-01°)	(6.11434683569981e+01dB,-4.04490750243417e-01°)
5.55904257270409e+04	(6.07971810433261e+01dB,-3.68524978670504e-01°)	(6.11434665765446e+01dB,-4.09174506391352e-01°)
5.62341325190355e+04	(6.07971792957051e+01dB,-3.72792273589358e-01°)	(6.11434647546195e+01dB,-4.13912496965926e-01°)
5.68852930843847e+04	(6.07971775073773e+01dB,-3.77108980638710e-01°)	(6.11434628902568e+01dB,-4.18705349940095e-01°)
5.75439937337163e+04	(6.07971756773943e+01dB,-3.81475671955395e-01°)	(6.11434609824681e+01dB,-4.23553700557281e-01°)
5.82103217770878e+04	(6.07971738047860e+01dB,-3.85892926300273e-01°)	(6.11434590302418e+01dB,-4.28458191415503e-01°)
5.88843655355595e+04	(6.07971718885595e+01dB,-3.90361329134896e-01°)	(6.11434570325429e+01dB,-4.33419472552523e-01°)
5.95662143529017e+04	(6.07971699276988e+01dB,-3.94881472699063e-01°)	(6.11434549883123e+01dB,-4.38438201531909e-01°)
6.02559586074364e+04	(6.07971679211643e+01dB,-3.99453956089268e-01°)	(6.11434528964660e+01dB,-4.43515043530188e-01°)
6.09536897240176e+04	(6.07971658678921e+01dB,-4.04079385338058e-01°)	(6.11434507558950e+01dB,-4.48650671424880e-01°)
6.16595001861489e+04	(6.07971637667936e+01dB,-4.08758373494310e-01°)	(6.11434485654644e+01dB,-4.53845765883743e-01°)
