time	V(lpf_3rd_10mhz)	V(lpf_3rd_50mhz)
1.006310720022089e-08	2.758200e-02	1.189782e-01
1.018596434307803e-08	2.917461e-02	1.244342e-01
1.030882148593517e-08	3.081396e-02	1.299257e-01
1.043167862879231e-08	3.250002e-02	1.354528e-01
1.055453577164945e-08	3.423282e-02	1.410155e-01
1.067739291450659e-08	3.601234e-02	1.466137e-01
1.080025005736373e-08	3.783859e-02	1.522475e-01
1.092310720022087e-08	3.971156e-02	1.579169e-01
1.096596434307802e-08	4.037581e-02	1.598904e-01
1.100882148593516e-08	4.104569e-02	1.618635e-01
1.105167862879230e-08	4.172121e-02	1.638361e-01
1.109453577164944e-08	4.240236e-02	1.658083e-01
1.113739291450658e-08	4.308914e-02	1.677800e-01
1.118025005736372e-08	4.378155e-02	1.697513e-01
1.122310720022087e-08	4.447960e-02	1.717222e-01
1.136739291450658e-08	4.687160e-02	1.783742e-01
1.151167862879229e-08	4.932626e-02	1.849586e-01
1.165596434307800e-08	5.184360e-02	1.914754e-01
1.180025005736371e-08	5.442361e-02	1.979248e-01
1.194453577164942e-08	5.706629e-02	2.043065e-01
1.208882148593513e-08	5.977164e-02	2.106207e-01
1.223310720022084e-08	6.253966e-02	2.168673e-01
1.231167862879227e-08	6.407264e-02	2.202080e-01
1.239025005736369e-08	6.562365e-02	2.235072e-01
1.246882148593512e-08	6.719271e-02	2.267649e-01
1.254739291450655e-08	6.877980e-02	2.299811e-01
1.262596434307798e-08	7.038494e-02	2.331558e-01
1.270453577164940e-08	7.200811e-02	2.362889e-01
1.278310720022083e-08	7.364932e-02	2.393806e-01
1.289596434307797e-08	7.603817e-02	2.437422e-01
1.300882148593511e-08	7.846303e-02	2.479836e-01
1.312167862879225e-08	8.092391e-02	2.521046e-01
1.323453577164939e-08	8.342082e-02	2.561054e-01
1.334739291450653e-08	8.595374e-02	2.599859e-01
1.346025005736367e-08	8.852269e-02	2.637462e-01
1.357310720022081e-08	9.112766e-02	2.673862e-01
1.362025005736366e-08	9.222607e-02	2.688611e-01
1.366739291450652e-08	9.333057e-02	2.703105e-01
1.371453577164938e-08	9.444116e-02	2.717345e-01
1.376167862879223e-08	9.555783e-02	2.731330e-01
1.380882148593509e-08	9.668059e-02	2.745060e-01
1.385596434307795e-08	9.780944e-02	2.758536e-01
1.390310720022080e-08	9.894437e-02	2.771758e-01
1.395596434307794e-08	1.002241e-01	2.786266e-01
1.400882148593508e-08	1.015112e-01	2.800423e-01
1.406167862879223e-08	1.028059e-01	2.814231e-01
1.411453577164937e-08	1.041080e-01	2.827687e-01
1.416739291450651e-08	1.054176e-01	2.840793e-01
1.422025005736365e-08	1.067347e-01	2.853548e-01
1.427310720022079e-08	1.080592e-01	2.865953e-01
1.434453577164936e-08	1.098610e-01	2.882143e-01
1.441596434307793e-08	1.116760e-01	2.897633e-01
1.448739291450650e-08	1.135042e-01	2.912424e-01
1.455882148593507e-08	1.153457e-01	2.926516e-01
1.463025005736364e-08	1.172004e-01	2.939908e-01
1.470167862879221e-08	1.190684e-01	2.952601e-01
1.477310720022078e-08	1.209496e-01	2.964594e-01
1.484739291450650e-08	1.229199e-01	2.976290e-01
1.492167862879222e-08	1.249039e-01	2.987171e-01
1.499596434307795e-08	1.269016e-01	2.997237e-01
1.507025005736367e-08	1.289132e-01	3.006487e-01
1.514453577164939e-08	1.309384e-01	3.014922e-01
1.521882148593511e-08	1.329774e-01	3.022543e-01
1.529310720022083e-08	1.350302e-01	3.029348e-01
1.538453577164942e-08	1.375753e-01	3.036569e-01
1.547596434307800e-08	1.401401e-01	3.042491e-01
1.556739291450658e-08	1.427247e-01	3.047113e-01
1.565882148593517e-08	1.453291e-01	3.050436e-01
1.575025005736375e-08	1.479533e-01	3.052459e-01
1.584167862879234e-08	1.505972e-01	3.053182e-01
1.593310720022092e-08	1.532608e-01	3.052606e-01
1.599310720022093e-08	1.550191e-01	3.051501e-01
1.605310720022094e-08	1.567855e-01	3.049826e-01
1.611310720022095e-08	1.585599e-01	3.047580e-01
1.617310720022096e-08	1.603424e-01	3.044764e-01
1.623310720022096e-08	1.621329e-01	3.041377e-01
1.629310720022097e-08	1.639315e-01	3.037420e-01
1.635310720022098e-08	1.657382e-01	3.032893e-01
1.643167862879242e-08	1.681161e-01	3.026094e-01
1.651025005736386e-08	1.705072e-01	3.018324e-01
1.658882148593530e-08	1.729113e-01	3.009583e-01
1.666739291450674e-08	1.753285e-01	2.999869e-01
1.674596434307818e-08	1.777588e-01	2.989184e-01
1.682453577164962e-08	1.802022e-01	2.977528e-01
1.690310720022106e-08	1.826586e-01	2.964900e-01
1.694882148593535e-08	1.840936e-01	2.957112e-01
1.699453577164964e-08	1.855327e-01	2.949004e-01
1.704025005736394e-08	1.869760e-01	2.940575e-01
1.708596434307823e-08	1.884236e-01	2.931825e-01
1.713167862879252e-08	1.898753e-01	2.922754e-01
1.717739291450681e-08	1.913312e-01	2.913362e-01
1.722310720022110e-08	1.927914e-01	2.903649e-01
1.732453577164969e-08	1.960463e-01	2.880927e-01
1.742596434307828e-08	1.993204e-01	2.856711e-01
1.752739291450686e-08	2.026138e-01	2.831001e-01
1.762882148593545e-08	2.059265e-01	2.803797e-01
1.773025005736403e-08	2.092585e-01	2.775098e-01
1.783167862879262e-08	2.126097e-01	2.744905e-01
1.793310720022120e-08	2.159802e-01	2.713218e-01
1.806882148593551e-08	2.205193e-01	2.668494e-01
1.820453577164981e-08	2.250888e-01	2.621481e-01
1.834025005736412e-08	2.296886e-01	2.572179e-01
1.847596434307842e-08	2.343187e-01	2.520588e-01
1.861167862879273e-08	2.389792e-01	2.466706e-01
1.874739291450703e-08	2.436699e-01	2.410536e-01
1.888310720022134e-08	2.483910e-01	2.352076e-01
1.892167862879277e-08	2.497374e-01	2.335142e-01
1.896025005736421e-08	2.510860e-01	2.318053e-01
1.899882148593564e-08	2.524369e-01	2.300809e-01
1.903739291450708e-08	2.537899e-01	2.283411e-01
1.907596434307851e-08	2.551451e-01	2.265859e-01
1.911453577164994e-08	2.565025e-01	2.248152e-01
1.915310720022138e-08	2.578621e-01	2.230291e-01
1.926739291450711e-08	2.619040e-01	2.176375e-01
1.938167862879284e-08	2.659631e-01	2.121383e-01
1.949596434307857e-08	2.700396e-01	2.065314e-01
1.961025005736430e-08	2.741333e-01	2.008169e-01
1.972453577165003e-08	2.782442e-01	1.949947e-01
1.983882148593576e-08	2.823725e-01	1.890649e-01
1.995310720022149e-08	2.865180e-01	1.830275e-01
1.998739291450721e-08	2.877644e-01	1.812037e-01
2.002167862879293e-08	2.890123e-01	1.793729e-01
2.005596434307865e-08	2.902615e-01	1.775350e-01
2.009025005736437e-08	2.915121e-01	1.756902e-01
2.012453577165009e-08	2.927641e-01	1.738384e-01
2.015882148593581e-08	2.940174e-01	1.719796e-01
2.019310720022152e-08	2.952721e-01	1.701137e-01
2.030310720022154e-08	2.993066e-01	1.640870e-01
2.040025005736441e-08	3.028813e-01	1.587043e-01
2.049739291450728e-08	3.064655e-01	1.532908e-01
2.059453577165015e-08	3.100593e-01	1.478465e-01
2.069167862879302e-08	3.136625e-01	1.423715e-01
2.078882148593589e-08	3.172753e-01	1.368657e-01
2.088596434307877e-08	3.208975e-01	1.313292e-01
2.098310720022164e-08	3.245293e-01	1.257619e-01
2.102310720022164e-08	3.260270e-01	1.234686e-01
2.106310720022165e-08	3.275262e-01	1.211739e-01
2.110310720022165e-08	3.290266e-01	1.188778e-01
2.114310720022166e-08	3.305285e-01	1.165802e-01
2.118310720022166e-08	3.320318e-01	1.142811e-01
2.122310720022167e-08	3.335365e-01	1.119807e-01
2.126310720022168e-08	3.350425e-01	1.096787e-01
2.161310720022172e-08	3.482746e-01	8.956452e-02
2.173739291450746e-08	3.529967e-01	8.243264e-02
2.186167862879319e-08	3.577282e-01	7.535725e-02
2.198596434307892e-08	3.624689e-01	6.833835e-02
2.211025005736465e-08	3.672189e-01	6.137593e-02
2.223453577165038e-08	3.719781e-01	5.447000e-02
2.235882148593612e-08	3.767466e-01	4.762056e-02
2.248310720022185e-08	3.815244e-01	4.082760e-02
2.254596434307900e-08	3.839431e-01	3.743413e-02
2.260882148593615e-08	3.863633e-01	3.406729e-02
2.267167862879330e-08	3.887852e-01	3.072709e-02
2.273453577165045e-08	3.912088e-01	2.741352e-02
2.279739291450761e-08	3.936339e-01	2.412659e-02
2.286025005736476e-08	3.960607e-01	2.086629e-02
2.292310720022191e-08	3.984891e-01	1.763262e-02
2.299739291450763e-08	4.013608e-01	1.384945e-02
2.307167862879336e-08	4.042341e-01	1.011500e-02
2.314596434307908e-08	4.071089e-01	6.429273e-03
2.322025005736481e-08	4.099851e-01	2.792272e-03
2.329453577165053e-08	4.128629e-01	-7.960053e-04
2.336882148593626e-08	4.157422e-01	-4.335559e-03
2.344310720022198e-08	4.186230e-01	-7.826389e-03
2.350025005736485e-08	4.208396e-01	-1.047309e-02
2.355739291450771e-08	4.230568e-01	-1.308500e-02
2.361453577165058e-08	4.252743e-01	-1.566213e-02
2.367167862879344e-08	4.274924e-01	-1.820447e-02
2.372882148593631e-08	4.297109e-01	-2.071203e-02
2.378596434307917e-08	4.319298e-01	-2.318481e-02
2.384310720022204e-08	4.341493e-01	-2.562280e-02
2.392310720022205e-08	4.372571e-01	-2.897513e-02
2.400310720022206e-08	4.403650e-01	-3.224862e-02
2.408310720022207e-08	4.434729e-01	-3.544328e-02
2.416310720022209e-08	4.465808e-01	-3.855911e-02
2.424310720022210e-08	4.496888e-01	-4.159610e-02
2.432310720022211e-08	4.527968e-01	-4.455426e-02
2.440310720022212e-08	4.559048e-01	-4.743358e-02
2.451596434307928e-08	4.602890e-01	-5.135469e-02
2.462882148593644e-08	4.646709e-01	-5.509512e-02
2.474167862879360e-08	4.690505e-01	-5.865487e-02
2.485453577165075e-08	4.734277e-01	-6.203395e-02
2.496739291450791e-08	4.778026e-01	-6.523236e-02
2.508025005736507e-08	4.821751e-01	-6.825009e-02
2.519310720022223e-08	4.865453e-01	-7.108714e-02
2.525310720022224e-08	4.888669e-01	-7.251420e-02
2.531310720022225e-08	4.911871e-01	-7.388597e-02
2.537310720022226e-08	4.935061e-01	-7.520247e-02
2.543310720022226e-08	4.958239e-01	-7.646368e-02
2.549310720022227e-08	4.981404e-01	-7.766960e-02
2.555310720022228e-08	5.004556e-01	-7.882024e-02
2.561310720022229e-08	5.027696e-01	-7.991560e-02
2.570167862879373e-08	5.061830e-01	-8.142973e-02
2.579025005736517e-08	5.095926e-01	-8.281905e-02
2.587882148593661e-08	5.129983e-01	-8.408354e-02
2.596739291450805e-08	5.164001e-01	-8.522321e-02
2.605596434307950e-08	5.197981e-01	-8.623806e-02
2.614453577165094e-08	5.231923e-01	-8.712808e-02
2.623310720022238e-08	5.265826e-01	-8.789328e-02
