Freq.	V(n001)/I(Iin2)
1.62181009735893e+04	(-3.85620741027126e+00dB,5.78941679599483e+00°)
1.64058977319954e+04	(-3.85516793116236e+00dB,5.85598484419377e+00°)
1.65958690743757e+04	(-3.85410449699996e+00dB,5.92330733033639e+00°)
1.67880401812257e+04	(-3.85301656178184e+00dB,5.99139242296211e+00°)
1.69824365246175e+04	(-3.85190356737946e+00dB,6.06024836571332e+00°)
1.71790838715759e+04	(-3.85076494323364e+00dB,6.12988347759739e+00°)
1.73780082874938e+04	(-3.84960010608979e+00dB,6.20030615315127e+00°)
1.75792361395870e+04	(-3.84840845976762e+00dB,6.27152486264503e+00°)
1.77827941003893e+04	(-3.84718939484916e+00dB,6.34354815220830e+00°)
1.79887091512879e+04	(-3.84594228842326e+00dB,6.41638464396922e+00°)
1.81970085860999e+04	(-3.84466650379978e+00dB,6.49004303618329e+00°)
1.84077200146896e+04	(-3.84336139021907e+00dB,6.56453210331571e+00°)
1.86208713666287e+04	(-3.84202628255631e+00dB,6.63986069608641e+00°)
1.88364908948981e+04	(-3.84066050103565e+00dB,6.71603774151515e+00°)
1.90546071796325e+04	(-3.83926335089555e+00dB,6.79307224294336e+00°)
1.92752491319094e+04	(-3.83783412212964e+00dB,6.87097327999552e+00°)
1.94984459975805e+04	(-3.83637208913156e+00dB,6.94975000856350e+00°)
1.97242273611486e+04	(-3.83487651038172e+00dB,7.02941166069699e+00°)
1.99526231496889e+04	(-3.83334662814943e+00dB,7.10996754450438e+00°)
2.01836636368157e+04	(-3.83178166812437e+00dB,7.19142704402367e+00°)
2.04173794466954e+04	(-3.83018083911081e+00dB,7.27379961903817e+00°)
2.06538015581054e+04	(-3.82854333266360e+00dB,7.35709480485577e+00°)
2.08929613085405e+04	(-3.82686832275156e+00dB,7.44132221209398e+00°)
2.11348903983666e+04	(-3.82515496540142e+00dB,7.52649152633765e+00°)
2.13796208950224e+04	(-3.82340239835805e+00dB,7.61261250788881e+00°)
2.16271852372703e+04	(-3.82160974066453e+00dB,7.69969499132511e+00°)
2.18776162394956e+04	(-3.81977609236679e+00dB,7.78774888514117e+00°)
