Freq.,z.Mag,z.phase
23988.32919,-3.803516662,8.528363813
24266.10095,-3.801270268,8.625618214
24547.08916,-3.798972751,8.723947052
24831.33105,-3.796622976,8.823361005
25118.86432,-3.794219782,8.923870822
25409.72706,-3.791761987,9.02548731
25703.95783,-3.789248382,9.128221342
26001.59563,-3.786677733,9.232083852
26302.67992,-3.78404878,9.337085835
26607.2506,-3.781360238,9.443238342
26915.34804,-3.778610793,9.550552483
27227.01308,-3.775799106,9.659039424
27542.28703,-3.77292381,9.768710386
27861.21169,-3.769983509,9.879576639
28183.82931,-3.766976779,9.991649506
28510.18268,-3.763902168,10.10494036
28840.31503,-3.760758191,10.21946061
29174.27014,-3.757543336,10.33522173
29512.09227,-3.754256059,10.45223522
29853.82619,-3.750894786,10.57051263
30199.5172,-3.74745791,10.69006552
30549.21113,-3.743943792,10.81090554
30902.95433,-3.740350762,10.93304431
31260.79367,-3.736677114,11.05649352
31622.7766,-3.73292111,11.18126488
31988.9511,-3.729080977,11.30737012
32359.36569,-3.725154909,11.43482099
32734.06949,-3.721141062,11.56362925
33113.11215,-3.717037557,11.6938067
33496.54392,-3.71284248,11.82536511
33884.41561,-3.708553877,11.95831631
34276.77865,-3.704169761,12.09267208
34673.68505,-3.699688102,12.22844423
35075.1874,-3.695106835,12.36564457
35481.33892,-3.690423855,12.50428489
35892.19346,-3.685637016,12.64437696
36307.80548,-3.680744133,12.78593255
36728.23005,-3.675742981,12.9289634
37153.52291,-3.670631292,13.07348122
37583.74043,-3.665406759,13.2194977
38018.93963,-3.660067029,13.36702448
38459.1782,-3.654609709,13.51607316
38904.5145,-3.649032363,13.6666553
39355.00755,-3.643332509,13.81878242
39810.71706,-3.637507623,13.97246594
40271.70343,-3.631555135,14.12771727
40738.02778,-3.625472431,14.2845477
41209.75191,-3.61925685,14.44296848
41686.93835,-3.612905685,14.60299076
42169.65034,-3.606416185,14.7646256
42657.95188,-3.599785548,14.92788397
43151.90768,-3.593010929,15.09277673
43651.58322,-3.586089431,15.25931463
44157.04474,-3.579018113,15.42750831
44668.35922,-3.571793984,15.59736828
45185.59444,-3.564414003,15.76890492
45708.81896,-3.55687508,15.94212846
46238.10214,-3.549174079,16.11704898
46773.51413,-3.54130781,16.29367642
47315.1259,-3.533273036,16.47202054
47863.00923,-3.525066469,16.65209092
48417.23676,-3.51668477,16.83389697
48977.88194,-3.50812455,17.01744791
49545.01908,-3.499382371,17.20275274
50118.72336,-3.490454742,17.38982025
50699.07083,-3.481338122,17.57865903
51286.1384,-3.472028919,17.76927743
51880.00389,-3.46252349,17.96168355
52480.74602,-3.452818143,18.15588523
53088.44442,-3.442909133,18.35189009
53703.17964,-3.432792665,18.54970543
54325.03315,-3.422464893,18.7493383
54954.08739,-3.411921922,18.95079543
55590.42573,-3.401159806,19.15408328
56234.13252,-3.39017455,19.35920797
56885.29308,-3.378962107,19.5661753
57543.99373,-3.367518384,19.77499071
58210.32178,-3.355839238,19.98565934
58884.36554,-3.343920478,20.19818592
59566.21435,-3.331757864,20.41257482
60255.95861,-3.31934711,20.62883005
60953.68972,-3.306683884,20.84695518
61659.50019,-3.293763808,21.06695341
62373.48355,-3.280582458,21.2888275
63095.73445,-3.267135366,21.51257977
63826.34862,-3.253418022,21.7382121
64565.4229,-3.239425873,21.96572592
65313.05526,-3.225154323,22.19512218
66069.3448,-3.210598739,22.42640135
66834.39176,-3.195754446,22.65956341
67608.29754,-3.180616732,22.89460781
