Freq.,V(ideal_out).mag,V(ideal_out).phase,V(lpf_3rd_lt1818).mag,V(lpf_3rd_lt1818).phase
158489.3192,60.79664624,-1.050651424,61.14290904,-1.166540787
160324.5391,60.79663204,-1.062816856,61.14289423,-1.180048069
162181.0097,60.7966175,-1.075123138,61.14287908,-1.193711736
164058.9773,60.79660263,-1.087571901,61.14286357,-1.207533598
165958.6907,60.79658741,-1.100164794,61.14284771,-1.221515487
167880.4018,60.79657183,-1.112903484,61.14283147,-1.235659254
169824.3652,60.7965559,-1.125789659,61.14281485,-1.249966773
171790.8387,60.79653959,-1.138825027,61.14279785,-1.264439939
173780.0829,60.7965229,-1.152011315,61.14278046,-1.279080669
175792.3614,60.79650582,-1.165350268,61.14276265,-1.293890903
177827.941,60.79648835,-1.178843654,61.14274444,-1.308872603
179887.0915,60.79647047,-1.19249326,61.14272579,-1.324027753
181970.0859,60.79645217,-1.206300895,61.14270672,-1.33935836
184077.2001,60.79643344,-1.220268387,61.1426872,-1.354866456
186208.7137,60.79641428,-1.234397586,61.14266722,-1.370554093
188364.9089,60.79639468,-1.248690364,61.14264678,-1.38642335
190546.0718,60.79637461,-1.263148614,61.14262587,-1.402476329
192752.4913,60.79635408,-1.277774251,61.14260446,-1.418715157
194984.46,60.79633307,-1.292569212,61.14258256,-1.435141982
197242.2736,60.79631157,-1.307535456,61.14256015,-1.451758982
199526.2315,60.79628958,-1.322674966,61.14253722,-1.468568357
201836.6364,60.79626706,-1.337989747,61.14251375,-1.485572334
204173.7945,60.79624403,-1.353481827,61.14248974,-1.502773163
206538.0156,60.79622046,-1.369153258,61.14246516,-1.520173123
208929.6131,60.79619634,-1.385006115,61.14244002,-1.537774519
211348.904,60.79617165,-1.401042498,61.14241428,-1.55557968
213796.209,60.7961464,-1.41726453,61.14238795,-1.573590966
216271.8524,60.79612055,-1.433674359,61.14236101,-1.59181076
218776.1624,60.7960941,-1.450274159,61.14233344,-1.610241476
221309.471,60.79606704,-1.467066128,61.14230523,-1.628885554
223872.1139,60.79603934,-1.484052488,61.14227635,-1.647745462
226464.4308,60.79601101,-1.50123549,61.14224681,-1.666823698
229086.7653,60.79598201,-1.518617409,61.14221658,-1.686122789
231739.465,60.79595233,-1.536200545,61.14218565,-1.705645288
234422.8815,60.79592197,-1.553987228,61.14215399,-1.725393781
237137.3706,60.79589089,-1.571979811,61.1421216,-1.745370882
239883.2919,60.7958591,-1.590180678,61.14208845,-1.765579236
242661.0095,60.79582656,-1.608592237,61.14205453,-1.786021518
