time,V(lpf_3rd_10mhz),V(lpf_3rd_50mhz)
2.63831E-08,0.5323131,-0.08889988
2.64331E-08,0.5342201,-0.08915505
2.64831E-08,0.5361256,-0.08937005
2.65331E-08,0.5380296,-0.08954487
2.65831E-08,0.539932,-0.08967952
2.66403E-08,0.5421042,-0.08978405
2.66974E-08,0.544274,-0.08983654
2.67545E-08,0.5464415,-0.08983701
2.68117E-08,0.5486066,-0.08978543
2.68688E-08,0.5507694,-0.08968183
2.6926E-08,0.5529298,-0.08952619
2.69831E-08,0.5550878,-0.08931851
2.70931E-08,0.5592356,-0.08876959
2.72031E-08,0.5633728,-0.08803578
2.73131E-08,0.5674995,-0.08711708
2.74231E-08,0.5716156,-0.08601349
2.75331E-08,0.5757212,-0.08472501
2.76431E-08,0.5798163,-0.08325164
2.77531E-08,0.5839008,-0.08159337
2.78974E-08,0.5892413,-0.07913769
2.80417E-08,0.5945591,-0.07640429
2.8186E-08,0.5998541,-0.07339319
2.83303E-08,0.6051262,-0.07010437
2.84745E-08,0.6103756,-0.06653784
2.86188E-08,0.6156022,-0.06269359
2.87631E-08,0.620806,-0.05857164
2.87874E-08,0.6216791,-0.05785688
2.88117E-08,0.6225515,-0.05713532
2.8836E-08,0.6234231,-0.05640697
2.88603E-08,0.6242941,-0.05567182
2.88845E-08,0.6251642,-0.05492988
2.89088E-08,0.6260337,-0.05418114
2.89331E-08,0.6269024,-0.05342561
2.90374E-08,0.630625,-0.0500962
2.91417E-08,0.6343329,-0.04665984
2.9246E-08,0.6380262,-0.04311653
2.93503E-08,0.6417049,-0.03946627
2.94545E-08,0.6453689,-0.03570906
2.95588E-08,0.6490183,-0.0318449
2.96631E-08,0.6526531,-0.0278738
2.97131E-08,0.65439,-0.0259414
2.97631E-08,0.6561233,-0.02399004
2.98131E-08,0.6578529,-0.0220197
2.98631E-08,0.6595788,-0.0200304
2.99131E-08,0.661301,-0.01802214
2.99631E-08,0.6630195,-0.0159949
3.00131E-08,0.6647344,-0.0139487
3.00874E-08,0.6672754,-0.01087465
3.01617E-08,0.6698077,-0.007769624
3.0236E-08,0.6723313,-0.004633627
3.03103E-08,0.6748463,-0.001466656
3.03845E-08,0.6773526,0.001731287
3.04588E-08,0.6798503,0.004960204
3.05331E-08,0.6823393,0.008220093
3.05431E-08,0.6826737,0.008660171
3.06131E-08,0.6850097,0.01175676
3.06831E-08,0.6873375,0.01486881
3.07531E-08,0.689657,0.01799631
3.08231E-08,0.6919683,0.02113926
3.08931E-08,0.6942713,0.02429766
3.09631E-08,0.6965661,0.02747152
3.10331E-08,0.6988526,0.03066083
3.10945E-08,0.7008521,0.03346675
3.1156E-08,0.7028449,0.03627604
3.12174E-08,0.704831,0.0390887
3.12788E-08,0.7068104,0.04190472
3.13403E-08,0.708783,0.04472411
3.14017E-08,0.7107489,0.04754686
3.14631E-08,0.7127081,0.05037298
3.15588E-08,0.7157473,0.05478105
3.16545E-08,0.7187692,0.05917241
3.17503E-08,0.7217736,0.06354708
3.1846E-08,0.7247607,0.06790505
3.19417E-08,0.7277305,0.07224631
3.20374E-08,0.7306828,0.07657088
3.21331E-08,0.7336178,0.08087875
3.22303E-08,0.7365783,0.08521836
3.23274E-08,0.7395196,0.08951023
3.24245E-08,0.7424417,0.09375435
3.25217E-08,0.7453447,0.09795073
3.26188E-08,0.7482285,0.1020994
3.2716E-08,0.7510932,0.1062002
3.28131E-08,0.7539387,0.1102534
3.29117E-08,0.7568058,0.1143017
3.30103E-08,0.7596519,0.1182713
3.31088E-08,0.7624771,0.1221622
3.32074E-08,0.7652813,0.1259744
3.3306E-08,0.7680645,0.129708
3.34045E-08,0.7708267,0.1333628
3.35031E-08,0.7735679,0.136939
3.35388E-08,0.7745557,0.138209
3.35745E-08,0.7755405,0.1394663
3.36103E-08,0.7765225,0.1407108
3.3646E-08,0.7775017,0.1419426
3.36817E-08,0.778478,0.1431616
3.37174E-08,0.7794514,0.144368
3.37531E-08,0.7804219,0.1455616
3.38188E-08,0.7822002,0.1477246
3.38845E-08,0.7839686,0.1498391
3.39503E-08,0.785727,0.151905
3.4016E-08,0.7874754,0.1539224
3.40817E-08,0.7892139,0.1558912
3.41474E-08,0.7909424,0.1578116
3.42131E-08,0.7926609,0.1596833
3.42988E-08,0.7948873,0.1620482
3.43845E-08,0.7970961,0.1643185
3.44703E-08,0.7992873,0.1664945
3.4556E-08,0.8014609,0.1685759
3.46417E-08,0.8036168,0.170563
3.47274E-08,0.8057552,0.1724556
3.48131E-08,0.8078759,0.1742538
3.49117E-08,0.8102925,0.1761976
3.50103E-08,0.8126849,0.1780022
3.51088E-08,0.8150529,0.1796676
3.52074E-08,0.8173967,0.1811937
3.5306E-08,0.8197161,0.1825807
3.54045E-08,0.8220112,0.1838284
3.55031E-08,0.8242821,0.184937
3.5556E-08,0.8254894,0.18547
3.56088E-08,0.8266895,0.1859608
3.56617E-08,0.8278823,0.1864094
3.57145E-08,0.829068,0.1868158
3.57674E-08,0.8302465,0.18718
3.58203E-08,0.8314177,0.187502
3.58731E-08,0.8325818,0.1877818
3.59674E-08,0.8346402,0.1881747
3.60617E-08,0.836675,0.1884304
3.6156E-08,0.8386862,0.1885489
3.62503E-08,0.8406738,0.1885301
3.63445E-08,0.8426377,0.188374
3.64388E-08,0.844578,0.1880807
3.65331E-08,0.8464947,0.1876502
3.65788E-08,0.8474153,0.1873916
3.66245E-08,0.8483302,0.1871009
3.66703E-08,0.8492394,0.186778
3.6716E-08,0.8501428,0.1864229
3.67617E-08,0.8510406,0.1860356
3.68074E-08,0.8519327,0.1856162
3.68531E-08,0.8528191,0.1851646
3.69588E-08,0.8548472,0.1839946
3.70645E-08,0.8568441,0.182658
3.71703E-08,0.8588097,0.1811548
3.7276E-08,0.8607442,0.179485
3.73817E-08,0.8626474,0.1776486
3.74874E-08,0.8645194,0.1756457
3.75931E-08,0.8663602,0.1734762
3.76945E-08,0.8680966,0.1712419
3.7796E-08,0.8698032,0.1688678
3.78974E-08,0.8714803,0.1663539
3.79988E-08,0.8731277,0.1637003
3.81003E-08,0.8747455,0.1609069
3.82017E-08,0.8763337,0.1579738
3.83031E-08,0.8778923,0.1549008
3.83917E-08,0.8792286,0.1521106
3.84803E-08,0.8805418,0.1492282
3.85688E-08,0.8818318,0.1462536
3.86574E-08,0.8830986,0.1431868
3.8746E-08,0.8843423,0.1400279
3.88345E-08,0.8855629,0.1367768
3.89231E-08,0.8867602,0.1334336
3.8956E-08,0.8871984,0.1321736
3.89888E-08,0.8876334,0.1309024
3.90217E-08,0.8880651,0.1296202
3.90545E-08,0.8884936,0.1283268
3.90874E-08,0.8889188,0.1270224
3.91203E-08,0.8893408,0.1257068
3.91531E-08,0.8897595,0.12438
3.92674E-08,0.8911912,0.119669
3.93817E-08,0.892583,0.1148498
3.9496E-08,0.8939352,0.1099225
3.96103E-08,0.8952476,0.104887
3.97245E-08,0.8965202,0.09974343
3.98388E-08,0.8977531,0.09449167
3.99531E-08,0.8989463,0.08913177
3.99874E-08,0.8992963,0.08751097
4.00217E-08,0.8996427,0.08588307
4.0056E-08,0.8999854,0.08424808
4.00903E-08,0.9003245,0.082606
4.01245E-08,0.90066,0.08095682
4.01588E-08,0.9009919,0.07930054
4.01931E-08,0.9013202,0.07763717
4.0276E-08,0.9020985,0.07358547
4.03588E-08,0.9028553,0.06950537
4.04417E-08,0.9035908,0.06539687
4.05245E-08,0.9043049,0.06125997
4.06074E-08,0.9049975,0.05709468
4.06903E-08,0.9056687,0.052901
4.07731E-08,0.9063185,0.04867891
4.07831E-08,0.9063955,0.04816883
4.08188E-08,0.9066678,0.04634439
4.08545E-08,0.9069361,0.04451727
4.08903E-08,0.9072003,0.04268748
4.0926E-08,0.9074605,0.04085502
4.09617E-08,0.9077167,0.03901987
4.09974E-08,0.9079689,0.03718206
4.10331E-08,0.9082171,0.03534156
4.1096E-08,0.9086441,0.03209576
4.11588E-08,0.9090586,0.02884834
4.12217E-08,0.9094606,0.0255993
4.12845E-08,0.90985,0.02234866
4.13474E-08,0.9102269,0.01909641
4.14103E-08,0.9105913,0.01584254
4.14731E-08,0.9109432,0.01258707
4.15574E-08,0.9113952,0.008222944
4.16417E-08,0.9118245,0.003873873
4.1726E-08,0.912231,-0.000460149
4.18103E-08,0.9126148,-0.00477912
4.18945E-08,0.9129759,-0.009083041
4.19788E-08,0.9133142,-0.01337191
4.20631E-08,0.9136297,-0.01764573
4.21431E-08,0.9139081,-0.02167807
4.22231E-08,0.9141657,-0.02567919
4.23031E-08,0.9144027,-0.02964911
